client_number,ebury_country,client_type,created_date
379924,HK,Corporate,2015-03-15 20:25:13.345112 UTC
401390,HK,Corporate,2014-08-12 20:25:13.345112 UTC
418044,HK,Corporate,2014-02-27 20:25:13.345112 UTC
344401,HK,Corporate,2016-03-04 20:25:13.345112 UTC
405185,HK,Corporate,2014-07-05 20:25:13.345112 UTC
392319,HK,Corporate,2014-11-11 20:25:13.345112 UTC
448500,HK,Corporate,2013-04-28 20:25:13.345112 UTC
294663,Italy,Corporate,2017-07-14 20:25:13.345112 UTC
299236,Italy,Corporate,2017-05-30 20:25:13.345112 UTC
400042,Italy,Corporate,2014-08-26 20:25:13.345112 UTC
347200,Italy,Corporate,2016-02-05 20:25:13.345112 UTC
288682,Italy,Corporate,2017-09-12 20:25:13.345112 UTC
417546,Italy,Corporate,2014-03-04 20:25:13.345112 UTC
474864,Italy,Corporate,2012-08-07 20:25:13.345112 UTC
315405,Italy,Corporate,2016-12-19 20:25:13.345112 UTC
271044,Italy,Corporate,2018-03-08 20:25:13.345112 UTC
320193,Italy,Corporate,2016-11-01 20:25:13.345112 UTC
232996,Italy,Corporate,2019-03-23 20:25:13.345112 UTC
465470,Italy,Corporate,2012-11-09 20:25:13.345112 UTC
320254,Italy,Corporate,2016-10-31 20:25:13.345112 UTC
193472,Italy,Corporate,2020-04-21 20:25:13.345112 UTC
495155,Italy,Corporate,2012-01-17 20:25:13.345112 UTC
338935,Italy,Corporate,2016-04-28 20:25:13.345112 UTC
378523,Italy,Corporate,2015-03-29 20:25:13.345112 UTC
375394,Italy,Corporate,2015-04-29 20:25:13.345112 UTC
143873,Italy,Corporate,2021-08-30 20:25:13.345112 UTC
312092,Italy,Corporate,2017-01-21 20:25:13.345112 UTC
468359,Italy,Corporate,2012-10-11 20:25:13.345112 UTC
397770,Italy,Corporate,2014-09-17 20:25:13.345112 UTC
353442,Italy,Corporate,2015-12-05 20:25:13.345112 UTC
443216,Italy,Corporate,2013-06-20 20:25:13.345112 UTC
222446,Italy,Corporate,2019-07-07 20:25:13.345112 UTC
268268,Italy,Corporate,2018-04-04 20:25:13.345112 UTC
227085,Netherlands,Corporate,2019-05-21 20:25:13.345112 UTC
307464,Netherlands,Corporate,2017-03-08 20:25:13.345112 UTC
148356,Netherlands,Corporate,2021-07-16 20:25:13.345112 UTC
144322,Netherlands,Corporate,2021-08-26 20:25:13.345112 UTC
356568,Netherlands,Corporate,2015-11-03 20:25:13.345112 UTC
120650,Netherlands,Corporate,2022-04-19 20:25:13.345112 UTC
22932,Netherlands,Corporate,2024-12-22 20:25:13.345112 UTC
363209,Netherlands,Corporate,2015-08-29 20:25:13.345112 UTC
34655,Netherlands,Corporate,2024-08-26 20:25:13.345112 UTC
89140,Netherlands,Corporate,2023-03-01 20:25:13.345112 UTC
193417,Netherlands,Corporate,2020-04-22 20:25:13.345112 UTC
98883,Netherlands,Corporate,2022-11-23 20:25:13.345112 UTC
134964,Netherlands,Corporate,2021-11-27 20:25:13.345112 UTC
388726,Netherlands,Corporate,2014-12-17 20:25:13.345112 UTC
94655,Netherlands,Corporate,2023-01-04 20:25:13.345112 UTC
57122,Netherlands,Corporate,2024-01-15 20:25:13.345112 UTC
303680,Netherlands,Corporate,2017-04-15 20:25:13.345112 UTC
101480,Netherlands,Corporate,2022-10-28 20:25:13.345112 UTC
278070,Netherlands,Corporate,2017-12-27 20:25:13.345112 UTC
58853,Netherlands,Corporate,2023-12-28 20:25:13.345112 UTC
57129,Netherlands,Corporate,2024-01-15 20:25:13.345112 UTC
343589,Netherlands,Corporate,2016-03-12 20:25:13.345112 UTC
430418,Netherlands,Corporate,2013-10-26 20:25:13.345112 UTC
375651,Netherlands,Corporate,2015-04-26 20:25:13.345112 UTC
160642,Netherlands,Corporate,2021-03-16 20:25:13.345112 UTC
341278,Netherlands,Corporate,2016-04-04 20:25:13.345112 UTC
350552,Netherlands,Corporate,2016-01-02 20:25:13.345112 UTC
174390,Netherlands,Corporate,2020-10-29 20:25:13.345112 UTC
165664,Netherlands,Corporate,2021-01-24 20:25:13.345112 UTC
326287,Netherlands,Corporate,2016-09-01 20:25:13.345112 UTC
73767,Netherlands,Corporate,2023-08-01 20:25:13.345112 UTC
194711,Netherlands,Corporate,2020-04-09 20:25:13.345112 UTC
149265,Netherlands,Corporate,2021-07-07 20:25:13.345112 UTC
109071,Netherlands,Corporate,2022-08-13 20:25:13.345112 UTC
209795,Netherlands,Corporate,2019-11-10 20:25:13.345112 UTC
25838,Netherlands,Corporate,2024-11-23 20:25:13.345112 UTC
239594,Netherlands,Corporate,2019-01-16 20:25:13.345112 UTC
297644,Netherlands,Corporate,2017-06-15 20:25:13.345112 UTC
202293,Netherlands,Corporate,2020-01-24 20:25:13.345112 UTC
177347,Netherlands,Corporate,2020-09-30 20:25:13.345112 UTC
53946,Netherlands,Corporate,2024-02-16 20:25:13.345112 UTC
55990,Netherlands,Corporate,2024-01-26 20:25:13.345112 UTC
98496,Netherlands,Corporate,2022-11-27 20:25:13.345112 UTC
72355,Netherlands,Corporate,2023-08-15 20:25:13.345112 UTC
28491,Netherlands,Corporate,2024-10-27 20:25:13.345112 UTC
112047,Netherlands,Corporate,2022-07-15 20:25:13.345112 UTC
249415,Netherlands,Corporate,2018-10-10 20:25:13.345112 UTC
130584,Netherlands,Corporate,2022-01-10 20:25:13.345112 UTC
56302,Netherlands,Corporate,2024-01-23 20:25:13.345112 UTC
311711,Netherlands,Corporate,2017-01-25 20:25:13.345112 UTC
100605,Netherlands,Corporate,2022-11-06 20:25:13.345112 UTC
118081,Netherlands,Corporate,2022-05-15 20:25:13.345112 UTC
256993,Netherlands,Corporate,2018-07-26 20:25:13.345112 UTC
356704,Netherlands,Corporate,2015-11-02 20:25:13.345112 UTC
362453,Netherlands,Corporate,2015-09-05 20:25:13.345112 UTC
338701,Netherlands,Corporate,2016-04-30 20:25:13.345112 UTC
23576,Netherlands,Corporate,2024-12-15 20:25:13.345112 UTC
54593,Netherlands,Corporate,2024-02-09 20:25:13.345112 UTC
321202,Netherlands,Corporate,2016-10-22 20:25:13.345112 UTC
157776,Netherlands,Corporate,2021-04-13 20:25:13.345112 UTC
335905,Netherlands,Corporate,2016-05-28 20:25:13.345112 UTC
402064,Netherlands,Corporate,2014-08-05 20:25:13.345112 UTC
78486,Netherlands,Corporate,2023-06-15 20:25:13.345112 UTC
431832,Netherlands,Corporate,2013-10-12 20:25:13.345112 UTC
23645,Netherlands,Corporate,2024-12-15 20:25:13.345112 UTC
219422,Netherlands,Corporate,2019-08-06 20:25:13.345112 UTC
75321,Netherlands,Corporate,2023-07-17 20:25:13.345112 UTC
166113,Netherlands,Corporate,2021-01-20 20:25:13.345112 UTC
288581,Netherlands,Corporate,2017-09-13 20:25:13.345112 UTC
84736,Netherlands,Corporate,2023-04-14 20:25:13.345112 UTC
311467,Netherlands,Corporate,2017-01-27 20:25:13.345112 UTC
427675,Netherlands,Corporate,2013-11-22 20:25:13.345112 UTC
328087,Netherlands,Corporate,2016-08-14 20:25:13.345112 UTC
65209,Netherlands,Corporate,2023-10-26 20:25:13.345112 UTC
388175,Netherlands,Corporate,2014-12-22 20:25:13.345112 UTC
23390,Netherlands,Corporate,2024-12-17 20:25:13.345112 UTC
259390,Netherlands,Corporate,2018-07-02 20:25:13.345112 UTC
123763,Netherlands,Corporate,2022-03-19 20:25:13.345112 UTC
58641,Netherlands,Corporate,2023-12-31 20:25:13.345112 UTC
438586,Netherlands,Corporate,2013-08-05 20:25:13.345112 UTC
448677,Netherlands,Corporate,2013-04-26 20:25:13.345112 UTC
30650,Netherlands,Corporate,2024-10-05 20:25:13.345112 UTC
119855,Netherlands,Corporate,2022-04-27 20:25:13.345112 UTC
128512,Netherlands,Corporate,2022-01-31 20:25:13.345112 UTC
170014,Netherlands,Corporate,2020-12-12 20:25:13.345112 UTC
211244,Netherlands,Corporate,2019-10-27 20:25:13.345112 UTC
323608,Netherlands,Corporate,2016-09-28 20:25:13.345112 UTC
182966,Netherlands,Corporate,2020-08-04 20:25:13.345112 UTC
55167,Netherlands,Corporate,2024-02-03 20:25:13.345112 UTC
35017,Netherlands,Corporate,2024-08-23 20:25:13.345112 UTC
59194,Netherlands,Corporate,2023-12-25 20:25:13.345112 UTC
62332,Netherlands,Corporate,2023-11-24 20:25:13.345112 UTC
413203,Netherlands,Corporate,2014-04-16 20:25:13.345112 UTC
132926,Netherlands,Corporate,2021-12-18 20:25:13.345112 UTC
60941,Netherlands,Corporate,2023-12-08 20:25:13.345112 UTC
112054,Netherlands,Corporate,2022-07-14 20:25:13.345112 UTC
368347,Netherlands,Corporate,2015-07-09 20:25:13.345112 UTC
98742,Netherlands,Corporate,2022-11-25 20:25:13.345112 UTC
75736,Netherlands,Corporate,2023-07-13 20:25:13.345112 UTC
158810,Netherlands,Corporate,2021-04-03 20:25:13.345112 UTC
219398,Netherlands,Corporate,2019-08-06 20:25:13.345112 UTC
22588,Netherlands,Corporate,2024-12-25 20:25:13.345112 UTC
149564,Netherlands,Corporate,2021-07-04 20:25:13.345112 UTC
370156,Netherlands,Corporate,2015-06-20 20:25:13.345112 UTC
283636,Netherlands,Corporate,2017-11-02 20:25:13.345112 UTC
30651,Netherlands,Corporate,2024-10-05 20:25:13.345112 UTC
67412,Netherlands,Corporate,2023-10-04 20:25:13.345112 UTC
293000,Netherlands,Corporate,2017-07-31 20:25:13.345112 UTC
177345,Netherlands,Corporate,2020-09-30 20:25:13.345112 UTC
200527,Netherlands,Corporate,2020-02-11 20:25:13.345112 UTC
248617,Netherlands,Corporate,2018-10-18 20:25:13.345112 UTC
390822,Netherlands,Corporate,2014-11-26 20:25:13.345112 UTC
100199,Netherlands,Corporate,2022-11-10 20:25:13.345112 UTC
166848,Netherlands,Corporate,2021-01-13 20:25:13.345112 UTC
91006,Netherlands,Corporate,2023-02-10 20:25:13.345112 UTC
289851,Netherlands,Corporate,2017-08-31 20:25:13.345112 UTC
469449,Poland,Corporate,2012-10-01 20:25:13.345112 UTC
310006,Poland,Corporate,2017-02-11 20:25:13.345112 UTC
161609,Poland,Corporate,2021-03-06 20:25:13.345112 UTC
251528,Poland,Corporate,2018-09-19 20:25:13.345112 UTC
317407,Poland,Corporate,2016-11-29 20:25:13.345112 UTC
223634,Poland,Corporate,2019-06-25 20:25:13.345112 UTC
76735,Poland,Corporate,2023-07-03 20:25:13.345112 UTC
327415,Poland,Corporate,2016-08-21 20:25:13.345112 UTC
254560,Poland,Corporate,2018-08-19 20:25:13.345112 UTC
233848,Poland,Corporate,2019-03-15 20:25:13.345112 UTC
135140,Poland,Corporate,2021-11-26 20:25:13.345112 UTC
186475,Poland,Corporate,2020-06-30 20:25:13.345112 UTC
369656,Poland,Corporate,2015-06-25 20:25:13.345112 UTC
177080,Poland,Corporate,2020-10-02 20:25:13.345112 UTC
404475,Poland,Corporate,2014-07-12 20:25:13.345112 UTC
455966,Poland,Corporate,2013-02-12 20:25:13.345112 UTC
211615,Poland,Corporate,2019-10-23 20:25:13.345112 UTC
217353,Poland,Corporate,2019-08-26 20:25:13.345112 UTC
451059,Poland,Corporate,2013-04-02 20:25:13.345112 UTC
70275,Poland,Corporate,2023-09-05 20:25:13.345112 UTC
144233,Poland,Corporate,2021-08-27 20:25:13.345112 UTC
